step,event,fund,return_percent,label,amount_ars,pool_available,treasury_surplus,protected_withdrawable,mp_fee_in_cumulative,mp_fee_out_user_cumulative,iibb_cumulative,ganancias_cumulative,platform_cost_cumulative,notes
282,surplus_payout,Stable Yield,10,Investment105,110000,5085000.00,22000.00,5063000.00,1062000.00,756900.00,619500.00,1335250.00,3016750.00,"Surplus ≥ 110000; pool and surplus −110000; user MP out ~6600 ARS (6%, absorbed by user)"
283,subscription,Stable Yield,10,Investment178,100000,5185000.00,54500.00,5130500.00,1068000.00,756900.00,623000.00,1343375.00,3034375.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
284,subscription,Growth Partners,25,Investment179,100000,5285000.00,83250.00,5201750.00,1074000.00,756900.00,626500.00,1350562.50,3051062.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
285,payout,Stable Yield,10,Investment106,110000,5175000.00,83250.00,5091750.00,1074000.00,763500.00,626500.00,1350562.50,3051062.50,"Cohort payout 110000 ARS (10%); unlocked by Investment177, Investment178, Investment179 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
286,subscription,Growth Partners,25,Investment180,100000,5275000.00,112000.00,5163000.00,1080000.00,763500.00,630000.00,1357750.00,3067750.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
287,surplus_payout,Capital Shield,6,Investment107,106000,5169000.00,6000.00,5163000.00,1080000.00,769860.00,630000.00,1357750.00,3067750.00,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
288,subscription,Capital Shield,6,Investment181,100000,5269000.00,39500.00,5229500.00,1086000.00,769860.00,633500.00,1366125.00,3085625.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
289,subscription,Growth Partners,25,Investment182,100000,5369000.00,68250.00,5300750.00,1092000.00,769860.00,637000.00,1373312.50,3102312.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
290,payout,Growth Partners,25,Investment108,125000,5244000.00,68250.00,5175750.00,1092000.00,777360.00,637000.00,1373312.50,3102312.50,"Cohort payout 125000 ARS (25%); unlocked by Investment180, Investment181, Investment182 (3 unlockers); user MP out ~7500 ARS (6%, absorbed by user)"
291,subscription,Growth Partners,25,Investment183,100000,5344000.00,97000.00,5247000.00,1098000.00,777360.00,640500.00,1380500.00,3119000.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
292,subscription,Capital Shield,6,Investment184,100000,5444000.00,130500.00,5313500.00,1104000.00,777360.00,644000.00,1388875.00,3136875.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
293,surplus_payout,Capital Shield,6,Investment109,106000,5338000.00,24500.00,5313500.00,1104000.00,783720.00,644000.00,1388875.00,3136875.00,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
294,subscription,Balanced Growth,15,Investment185,100000,5438000.00,55750.00,5382250.00,1110000.00,783720.00,647500.00,1396687.50,3154187.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
295,payout,Stable Yield,10,Investment110,110000,5328000.00,55750.00,5272250.00,1110000.00,790320.00,647500.00,1396687.50,3154187.50,"Cohort payout 110000 ARS (10%); unlocked by Investment183, Investment184, Investment185 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
296,subscription,Capital Shield,6,Investment186,100000,5428000.00,89250.00,5338750.00,1116000.00,790320.00,651000.00,1405062.50,3172062.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
297,subscription,Stable Yield,10,Investment187,100000,5528000.00,121750.00,5406250.00,1122000.00,790320.00,654500.00,1413187.50,3189687.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
298,surplus_payout,Balanced Growth,15,Investment111,115000,5413000.00,6750.00,5406250.00,1122000.00,797220.00,654500.00,1413187.50,3189687.50,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
299,subscription,Aggressive Alpha,40,Investment188,100000,5513000.00,31750.00,5481250.00,1128000.00,797220.00,658000.00,1419437.50,3205437.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
300,payout,Stable Yield,10,Investment112,110000,5403000.00,31750.00,5371250.00,1128000.00,803820.00,658000.00,1419437.50,3205437.50,"Cohort payout 110000 ARS (10%); unlocked by Investment186, Investment187, Investment188 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
301,subscription,Growth Partners,25,Investment189,100000,5503000.00,60500.00,5442500.00,1134000.00,803820.00,661500.00,1426625.00,3222125.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
302,subscription,Stable Yield,10,Investment190,100000,5603000.00,93000.00,5510000.00,1140000.00,803820.00,665000.00,1434750.00,3239750.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
303,subscription,Growth Partners,25,Investment191,100000,5703000.00,121750.00,5581250.00,1146000.00,803820.00,668500.00,1441937.50,3256437.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
304,surplus_payout,Capital Shield,6,Investment114,106000,5597000.00,15750.00,5581250.00,1146000.00,810180.00,668500.00,1441937.50,3256437.50,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
305,payout,Aggressive Alpha,40,Investment113,140000,5457000.00,15750.00,5441250.00,1146000.00,818580.00,668500.00,1441937.50,3256437.50,"Cohort payout 140000 ARS (40%); unlocked by Investment189, Investment190, Investment191 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
306,subscription,Capital Shield,6,Investment192,100000,5557000.00,49250.00,5507750.00,1152000.00,818580.00,672000.00,1450312.50,3274312.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
307,subscription,Stable Yield,10,Investment193,100000,5657000.00,81750.00,5575250.00,1158000.00,818580.00,675500.00,1458437.50,3291937.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
308,subscription,Growth Partners,25,Investment194,100000,5757000.00,110500.00,5646500.00,1164000.00,818580.00,679000.00,1465625.00,3308625.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
309,surplus_payout,Capital Shield,6,Investment116,106000,5651000.00,4500.00,5646500.00,1164000.00,824940.00,679000.00,1465625.00,3308625.00,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
310,payout,Growth Partners,25,Investment115,125000,5526000.00,4500.00,5521500.00,1164000.00,832440.00,679000.00,1465625.00,3308625.00,"Cohort payout 125000 ARS (25%); unlocked by Investment192, Investment193, Investment194 (3 unlockers); user MP out ~7500 ARS (6%, absorbed by user)"
311,subscription,Growth Partners,25,Investment195,100000,5626000.00,33250.00,5592750.00,1170000.00,832440.00,682500.00,1472812.50,3325312.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
312,subscription,Aggressive Alpha,40,Investment196,100000,5726000.00,58250.00,5667750.00,1176000.00,832440.00,686000.00,1479062.50,3341062.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
313,subscription,Balanced Growth,15,Investment197,100000,5826000.00,89500.00,5736500.00,1182000.00,832440.00,689500.00,1486875.00,3358375.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
314,payout,Balanced Growth,15,Investment117,115000,5711000.00,89500.00,5621500.00,1182000.00,839340.00,689500.00,1486875.00,3358375.00,"Cohort payout 115000 ARS (15%); unlocked by Investment195, Investment196, Investment197 (3 unlockers); user MP out ~6900 ARS (6%, absorbed by user)"
315,subscription,Growth Partners,25,Investment198,100000,5811000.00,118250.00,5692750.00,1188000.00,839340.00,693000.00,1494062.50,3375062.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
316,surplus_payout,Capital Shield,6,Investment119,106000,5705000.00,12250.00,5692750.00,1188000.00,845700.00,693000.00,1494062.50,3375062.50,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
317,subscription,Stable Yield,10,Investment199,100000,5805000.00,44750.00,5760250.00,1194000.00,845700.00,696500.00,1502187.50,3392687.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
318,subscription,Balanced Growth,15,Investment200,100000,5905000.00,76000.00,5829000.00,1200000.00,845700.00,700000.00,1510000.00,3410000.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
319,payout,Aggressive Alpha,40,Investment118,140000,5765000.00,76000.00,5689000.00,1200000.00,854100.00,700000.00,1510000.00,3410000.00,"Cohort payout 140000 ARS (40%); unlocked by Investment198, Investment199, Investment200 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
